                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5814,                 5.6644,                  1.148,                0.04813,                0.07438,                0.04375,                0.04033,                 1.3218,                  5.801,                  1.121,                 0.0964,                 0.0004,                 0.0004
                      1,                 1.6225,                 5.7773,                 1.1495,                 0.0305,                0.05041,                0.03367,                0.03126,                 1.2671,                 5.8056,                 1.1133,               0.091891,             0.00089109,             0.00089109
                      2,                 1.4976,                 5.2552,                 1.1098,                0.00814,                0.03994,                0.01098,                0.00416,                 1.5668,                  5.166,                  1.252,               0.087372,              0.0013723,              0.0013723
                      3,                 1.3935,                 4.2362,                 1.0479,                0.00524,                0.05372,                0.00428,                0.00099,                 2.2821,                 4.8072,                 1.5429,               0.082844,              0.0018436,              0.0018436
                      4,                 1.2538,                 3.0317,                 1.0035,                0.53132,                0.15043,                0.16558,                0.10462,                 2.1852,                 3.1438,                 1.3839,               0.078305,               0.002305,               0.002305
                      5,                 1.2107,                 2.2788,                 0.9545,                0.69992,                0.18834,                0.18408,                0.10764,                 2.1087,                 2.8084,                 1.3141,               0.073756,              0.0027564,              0.0027564
                      6,                 1.1059,                 1.9563,                0.92986,                0.49003,                0.26745,                0.31654,                0.19285,                 1.2352,                 2.1375,                0.99301,               0.069198,               0.003198,               0.003198
                      7,                 1.1662,                 1.5801,                0.96317,                0.58178,                0.26895,                0.25828,                0.15351,                 1.5281,                 2.8486,                 1.2821,                0.06463,              0.0036297,              0.0036297
                      8,                 1.1332,                  1.524,                0.93139,                  0.855,                0.34408,                0.31462,                 0.1721,                 1.3212,                 2.6613,                 1.2166,               0.060052,              0.0040515,              0.0040515
                      9,                 1.1079,                 1.4203,                0.90957,                0.62018,                0.71892,                0.69977,                0.45076,                 1.0793,                 1.4509,                0.92075,               0.055463,              0.0044634,              0.0044634
                     10,                 1.0586,                 1.3686,                0.88974,                0.68752,                0.80499,                0.76984,                 0.5234,                 0.9784,                 1.3033,                0.91399,               0.050865,              0.0048654,              0.0048654
                     11,                 1.0569,                 1.2004,                0.90044,                0.63312,                0.58123,                 0.6744,                0.42054,                 1.2196,                 1.4456,                0.95233,               0.046257,              0.0052575,              0.0052575
                     12,                 1.0762,                 1.2151,                0.92543,                0.68389,                0.50861,                 0.6876,                0.43888,                 1.1395,                 1.6558,                0.96469,                0.04164,              0.0056397,              0.0056397
                     13,                 1.1936,                 1.3191,                0.90996,                0.68389,                0.50861,                 0.6876,                0.43888,                 1.1395,                 1.6558,                0.96469,               0.037012,               0.006012,               0.006012
                     14,                 1.1258,                 1.0832,                0.89434,                0.67384,                0.82478,                0.87609,                0.59782,                 1.0143,                0.96842,                0.89463,               0.032374,              0.0063744,              0.0063744
                     15,                 1.1489,                  1.152,                0.93357,                0.84663,                0.74843,                0.79286,                0.51625,                 1.2436,                 1.0828,                0.96539,               0.027727,              0.0067268,              0.0067268
                     16,                 1.1497,                 1.2136,                0.91469,                0.86478,                0.62688,                0.78397,                0.51567,                 1.2003,                 1.4241,                0.95278,               0.023069,              0.0070694,              0.0070694
                     17,                 1.0557,                 1.1397,                0.90777,                0.86478,                0.62688,                0.78397,                0.51567,                 1.2003,                 1.4241,                0.95278,               0.018402,              0.0074021,              0.0074021
                     18,                 1.1053,                 1.2426,                0.91307,                0.77365,                0.66634,                0.78913,                0.47989,                 1.3023,                 1.4248,                0.99006,               0.013725,              0.0077249,              0.0077249
                     19,                 1.0392,                  1.187,                0.90364,                 0.6369,                0.72763,                0.79952,                0.51347,                  1.229,                 1.2845,                0.94943,              0.0090378,              0.0080378,              0.0080378
                     20,                 1.1427,                 1.1951,                0.92023,                 0.6369,                0.72763,                0.79952,                0.51347,                  1.229,                 1.2845,                0.94943,                0.00802,                0.00802,                0.00802
                     21,                 1.1098,                  1.063,                0.90304,                0.79854,                0.90999,                0.91532,                0.57859,                 1.2324,                 1.0375,                0.94092,                0.00802,                0.00802,                0.00802
                     22,                 1.1262,                 1.0523,                0.91447,                 0.8556,                 0.7697,                0.88329,                0.55282,                 1.1352,                 1.0315,                0.93816,               0.007921,               0.007921,               0.007921
                     23,                 1.0555,                 1.1386,                0.89817,                 0.8556,                 0.7697,                0.88329,                0.55282,                 1.1352,                 1.0315,                0.93816,               0.007822,               0.007822,               0.007822
                     24,                 1.0212,                 1.0957,                0.90732,                0.70516,                0.86011,                0.93112,                0.60382,                 1.0934,                 1.0863,                 0.9354,               0.007723,               0.007723,               0.007723
                     25,                 1.0152,                 1.0159,                0.88213,                0.70516,                0.86011,                0.93112,                0.60382,                 1.0934,                 1.0863,                 0.9354,               0.007624,               0.007624,               0.007624
                     26,                0.99336,                0.91834,                0.88211,                0.69905,                0.79609,                0.83926,                0.55002,                 1.1064,                0.91129,                0.94375,               0.007525,               0.007525,               0.007525
                     27,                 1.0719,                0.86886,                0.89885,                0.75801,                0.87781,                0.82863,                0.56952,                 1.2155,                0.93413,                 0.9818,               0.007426,               0.007426,               0.007426
                     28,                 1.2151,                0.94961,                0.93638,                0.75801,                0.87781,                0.82863,                0.56952,                 1.2155,                0.93413,                 0.9818,               0.007327,               0.007327,               0.007327
                     29,                 1.0996,                0.94606,                0.92138,                0.83438,                0.71957,                 0.8523,                0.58208,                 1.0809,                 1.0262,                0.95665,               0.007228,               0.007228,               0.007228
                     30,                 1.0493,                0.93397,                0.88725,                0.78163,                 0.5168,                0.58159,                0.32107,                 1.7962,                 1.8021,                  1.182,               0.007129,               0.007129,               0.007129
                     31,                 1.0166,                0.86638,                0.89079,                0.78163,                 0.5168,                0.58159,                0.32107,                 1.7962,                 1.8021,                  1.182,                0.00703,                0.00703,                0.00703
                     32,                 1.0128,                0.83022,                0.88288,                 0.7381,                0.79941,                0.88121,                0.55294,                 1.1842,                 1.0559,                 0.9743,               0.006931,               0.006931,               0.006931
                     33,                 1.1088,                0.93095,                0.90497,                 0.7381,                0.79941,                0.88121,                0.55294,                 1.1842,                 1.0559,                 0.9743,               0.006832,               0.006832,               0.006832
                     34,                 1.0188,                0.77318,                 0.8757,                0.80032,                0.85718,                0.89499,                0.58465,                 1.0901,                 0.7553,                0.93962,               0.006733,               0.006733,               0.006733
                     35,                 1.0511,                0.80281,                0.89899,                 0.9156,                0.65728,                 0.8207,                0.50924,                 1.1621,                 1.3521,                 0.9612,               0.006634,               0.006634,               0.006634
                     36,                  1.054,                0.78905,                0.89292,                 0.9156,                0.65728,                 0.8207,                0.50924,                 1.1621,                 1.3521,                 0.9612,               0.006535,               0.006535,               0.006535
                     37,                0.97581,                0.79504,                0.88851,                 0.8435,                0.84661,                0.89854,                0.58475,                  1.056,                0.77612,                0.91812,               0.006436,               0.006436,               0.006436
                     38,                 1.0097,                0.76088,                0.86666,                0.76339,                0.86004,                0.84189,                0.52652,                  1.201,                 0.8043,                0.95373,               0.006337,               0.006337,               0.006337
                     39,                 1.0711,                 0.7874,                0.88977,                0.76339,                0.86004,                0.84189,                0.52652,                  1.201,                 0.8043,                0.95373,               0.006238,               0.006238,               0.006238
                     40,                 1.0221,                0.76778,                0.90626,                0.71155,                0.65287,                0.67022,                0.37274,                 1.1636,                 2.0312,                0.96454,               0.006139,               0.006139,               0.006139
                     41,                0.96913,                0.71378,                0.88252,                0.71155,                0.65287,                0.67022,                0.37274,                 1.1636,                 2.0312,                0.96454,                0.00604,                0.00604,                0.00604
                     42,                0.92715,                0.72196,                0.87397,                0.83716,                0.60412,                0.65291,                0.35317,                 1.3771,                 1.8622,                 1.1144,               0.005941,               0.005941,               0.005941
                     43,                0.92059,                0.72067,                0.87638,                0.74392,                0.63768,                0.73155,                0.40516,                 1.3082,                 1.5858,                 1.0642,               0.005842,               0.005842,               0.005842
                     44,                0.93729,                0.72504,                0.88137,                0.74392,                0.63768,                0.73155,                0.40516,                 1.3082,                 1.5858,                 1.0642,               0.005743,               0.005743,               0.005743
                     45,                0.92305,                0.67762,                0.88234,                0.90602,                0.92113,                0.94649,                0.65069,                0.99531,                0.59096,                0.89784,               0.005644,               0.005644,               0.005644
                     46,                0.95189,                0.68165,                0.88766,                0.89247,                0.92123,                0.93477,                0.63454,                 1.0792,                0.65297,                0.90639,               0.005545,               0.005545,               0.005545
                     47,                0.97912,                0.68331,                0.87597,                0.89247,                0.92123,                0.93477,                0.63454,                 1.0792,                0.65297,                0.90639,               0.005446,               0.005446,               0.005446
                     48,                0.95402,                0.66852,                0.86768,                 0.8863,                0.93553,                0.93484,                0.63845,                 1.0378,                0.57254,                 0.8943,               0.005347,               0.005347,               0.005347
                     49,                0.96879,                0.68441,                0.88267,                 0.8863,                0.93553,                0.93484,                0.63845,                 1.0378,                0.57254,                 0.8943,               0.005248,               0.005248,               0.005248
                     50,                0.98422,                0.68418,                0.88018,                0.88366,                0.94493,                0.94488,                0.64375,                  1.045,                0.55079,                0.90933,               0.005149,               0.005149,               0.005149
                     51,                0.95076,                0.68458,                0.87086,                0.87167,                0.95318,                0.94344,                0.63196,                 1.0418,                0.57235,                0.89542,                0.00505,                0.00505,                0.00505
                     52,                0.91973,                 0.6827,                0.86557,                0.87167,                0.95318,                0.94344,                0.63196,                 1.0418,                0.57235,                0.89542,               0.004951,               0.004951,               0.004951
                     53,                0.93004,                0.67961,                0.87181,                0.89206,                0.95022,                0.94693,                0.64839,                 1.0435,                0.55355,                0.89739,               0.004852,               0.004852,               0.004852
                     54,                0.98743,                0.68893,                0.88186,                0.89992,                0.96735,                0.95405,                0.62526,                 1.0674,                0.55548,                0.90095,               0.004753,               0.004753,               0.004753
                     55,                0.96221,                0.64951,                0.88232,                0.89992,                0.96735,                0.95405,                0.62526,                 1.0674,                0.55548,                0.90095,               0.004654,               0.004654,               0.004654
                     56,                0.94736,                 0.6622,                0.87489,                0.83856,                0.94848,                0.92751,                0.63264,                 1.0367,                0.55036,                0.89535,               0.004555,               0.004555,               0.004555
                     57,                0.92034,                0.65122,                0.86896,                0.83856,                0.94848,                0.92751,                0.63264,                 1.0367,                0.55036,                0.89535,               0.004456,               0.004456,               0.004456
                     58,                0.95005,                0.67179,                 0.8766,                0.86383,                0.92847,                0.93071,                0.60326,                 1.0912,                0.57132,                0.91048,               0.004357,               0.004357,               0.004357
                     59,                0.94588,                 0.6292,                0.87279,                0.90093,                0.92024,                0.94354,                 0.6438,                 1.0296,                 0.5577,                0.88932,               0.004258,               0.004258,               0.004258
                     60,                0.93544,                  0.648,                0.87219,                0.90093,                0.92024,                0.94354,                 0.6438,                 1.0296,                 0.5577,                0.88932,               0.004159,               0.004159,               0.004159
                     61,                0.97369,                0.66639,                0.89333,                0.90809,                0.92243,                0.93848,                0.62672,                 1.0766,                0.62277,                0.91089,                0.00406,                0.00406,                0.00406
                     62,                0.95892,                0.63419,                0.89128,                 0.9362,                0.94542,                0.95206,                0.65756,                 1.0071,                0.53749,                   0.89,               0.003961,               0.003961,               0.003961
                     63,                0.97807,                0.63359,                0.89599,                 0.9362,                0.94542,                0.95206,                0.65756,                 1.0071,                0.53749,                   0.89,               0.003862,               0.003862,               0.003862
                     64,                0.91764,                0.61666,                0.85593,                0.91026,                0.95179,                0.95273,                 0.6511,                 1.0608,                0.55636,                0.90341,               0.003763,               0.003763,               0.003763
                     65,                0.94384,                0.61613,                0.87362,                0.91026,                0.95179,                0.95273,                 0.6511,                 1.0608,                0.55636,                0.90341,               0.003664,               0.003664,               0.003664
                     66,                0.89746,                0.60641,                0.86771,                0.89904,                0.92855,                 0.9628,                0.66842,                0.97407,                0.56282,                0.88445,               0.003565,               0.003565,               0.003565
                     67,                0.96414,                0.63209,                0.87493,                0.87876,                0.94363,                0.96009,                0.64814,                 1.0538,                0.56101,                0.89115,               0.003466,               0.003466,               0.003466
                     68,                0.88205,                0.58134,                0.85663,                0.87876,                0.94363,                0.96009,                0.64814,                 1.0538,                0.56101,                0.89115,               0.003367,               0.003367,               0.003367
                     69,                0.96685,                0.63924,                0.88622,                0.89828,                0.94102,                0.95605,                 0.6476,                 1.0058,                0.54966,                0.88964,               0.003268,               0.003268,               0.003268
                     70,                 1.0071,                0.66177,                0.89941,                0.91033,                0.96429,                0.95937,                0.65104,                 1.0418,                0.51484,                0.89634,               0.003169,               0.003169,               0.003169
                     71,                0.95053,                0.60528,                0.86024,                0.91033,                0.96429,                0.95937,                0.65104,                 1.0418,                0.51484,                0.89634,                0.00307,                0.00307,                0.00307
                     72,                 0.9037,                0.60893,                 0.8726,                 0.9178,                0.97088,                0.96141,                0.66909,                 1.0108,                0.49918,                0.88685,               0.002971,               0.002971,               0.002971
                     73,                 0.8743,                0.58108,                0.85874,                 0.9178,                0.97088,                0.96141,                0.66909,                 1.0108,                0.49918,                0.88685,               0.002872,               0.002872,               0.002872
                     74,                 0.9086,                0.58708,                0.85705,                0.91317,                 0.9621,                0.96189,                0.66953,                0.99501,                0.51407,                0.88924,               0.002773,               0.002773,               0.002773
                     75,                0.89963,                0.58428,                0.86548,                0.91249,                0.95199,                 0.9545,                0.66464,                 1.0184,                0.52886,                0.89395,               0.002674,               0.002674,               0.002674
                     76,                0.84988,                0.56485,                0.85499,                0.91249,                0.95199,                 0.9545,                0.66464,                 1.0184,                0.52886,                0.89395,               0.002575,               0.002575,               0.002575
                     77,                0.90164,                0.62521,                 0.8695,                0.90865,                0.97908,                0.96731,                0.68491,                0.99822,                0.50059,                0.89105,               0.002476,               0.002476,               0.002476
                     78,                0.89893,                  0.578,                 0.8713,                0.88624,                0.96792,                0.96062,                0.68434,                0.98775,                0.49934,                0.88777,               0.002377,               0.002377,               0.002377
                     79,                0.85847,                0.55394,                0.85532,                0.88624,                0.96792,                0.96062,                0.68434,                0.98775,                0.49934,                0.88777,               0.002278,               0.002278,               0.002278
                     80,                 0.8743,                0.57465,                0.86356,                0.90794,                0.96887,                0.96552,                0.67842,                 1.0058,                 0.5216,                0.89157,               0.002179,               0.002179,               0.002179
                     81,                0.83953,                0.55493,                0.87684,                0.90794,                0.96887,                0.96552,                0.67842,                 1.0058,                 0.5216,                0.89157,                0.00208,                0.00208,                0.00208
                     82,                0.96017,                0.60006,                 0.8766,                0.91828,                0.96243,                0.96358,                0.66714,                0.97492,                0.51515,                0.88533,               0.001981,               0.001981,               0.001981
                     83,                0.86439,                0.56772,                0.85274,                0.92759,                0.95802,                0.96407,                0.65613,                 1.0089,                0.50363,                0.88682,               0.001882,               0.001882,               0.001882
                     84,                0.86418,                0.56401,                0.85681,                0.92759,                0.95802,                0.96407,                0.65613,                 1.0089,                0.50363,                0.88682,               0.001783,               0.001783,               0.001783
                     85,                0.85248,                0.54428,                0.84998,                0.93614,                0.97787,                0.97331,                0.67413,                0.98618,                0.50375,                0.88241,               0.001684,               0.001684,               0.001684
                     86,                0.90547,                0.56379,                0.85922,                0.92878,                 0.9744,                 0.9706,                0.67855,                0.97413,                0.48428,                0.88076,               0.001585,               0.001585,               0.001585
                     87,                0.86498,                0.54086,                0.84167,                0.92878,                 0.9744,                 0.9706,                0.67855,                0.97413,                0.48428,                0.88076,               0.001486,               0.001486,               0.001486
                     88,                0.88324,                0.56046,                0.85927,                0.91595,                0.97934,                0.96825,                0.68373,                0.97593,                0.47411,                0.88036,               0.001387,               0.001387,               0.001387
                     89,                0.87635,                0.53399,                0.86309,                0.91595,                0.97934,                0.96825,                0.68373,                0.97593,                0.47411,                0.88036,               0.001288,               0.001288,               0.001288
                     90,                0.91319,                0.56288,                0.87371,                0.92722,                0.97907,                0.96592,                0.67938,                0.96696,                 0.4694,                0.87986,               0.001189,               0.001189,               0.001189
                     91,                0.95373,                0.55856,                0.87059,                0.91847,                 0.9778,                0.96701,                0.68369,                0.96992,                0.47207,                0.87832,                0.00109,                0.00109,                0.00109
                     92,                0.91035,                0.54657,                0.84713,                0.91847,                 0.9778,                0.96701,                0.68369,                0.96992,                0.47207,                0.87832,               0.000991,               0.000991,               0.000991
                     93,                0.89323,                0.50852,                0.85784,                0.90683,                0.97131,                 0.9742,                0.67296,                0.95448,                0.47706,                0.87841,               0.000892,               0.000892,               0.000892
                     94,                0.92073,                0.54758,                0.86263,                 0.8952,                0.95821,                0.96686,                  0.677,                0.95122,                0.49182,                0.87845,               0.000793,               0.000793,               0.000793
                     95,                0.91086,                0.51591,                0.86855,                 0.8952,                0.95821,                0.96686,                  0.677,                0.95122,                0.49182,                0.87845,               0.000694,               0.000694,               0.000694
                     96,                0.92074,                0.52057,                0.84807,                0.88041,                0.95455,                0.96072,                0.68226,                0.95256,                0.49287,                0.87906,               0.000595,               0.000595,               0.000595
                     97,                0.93998,                0.52861,                0.85936,                0.88041,                0.95455,                0.96072,                0.68226,                0.95256,                0.49287,                0.87906,               0.000496,               0.000496,               0.000496
                     98,                0.93091,                0.54335,                0.86173,                0.91661,                0.96156,                0.96319,                0.68633,                0.95751,                0.48744,                0.87967,               0.000397,               0.000397,               0.000397
                     99,                0.92005,                0.52861,                0.86001,                0.92536,                0.97196,                0.96868,                0.68921,                0.96104,                0.47991,                0.87879,               0.000298,               0.000298,               0.000298
